"scientific_name","qc_status"
"Gadus morhua","Susceptible"
"Ranunculus sulphureus","Susceptible"
"Salvelinus alpinus","Susceptible"
"Phymatodes maculicollis","Susceptible"
"Thamnophis saurita","Susceptible"
"Eleocharis diandra","Susceptible"
"Eleocharis aestuum","Susceptible"
"Botrychium ascendens","Susceptible"
"Botrychium michiganense","Susceptible"
"Juncus anthelatus","Susceptible"
"Cerastium regelii","Susceptible"
"Riccia sorocarpa","Susceptible"
"Riccia rhenana","Susceptible"
"Riccia cavernosa","Susceptible"
"Bryum demaretianum","Susceptible"
"Notothylas orbicularis","Susceptible"
"Frullania riparia","Susceptible"
"Trechus crassiscapus","Susceptible"
"Symphyotrichum robynsianum","Susceptible"
"Neospondylis upiformis","Susceptible"
"Liparis liliifolia","Susceptible"
"Botrychium pinnatum","Susceptible"
"Cephaloon ungulare","Susceptible"
"Dolichoderus mariae","Susceptible"
"Coccinella novemnotata","Susceptible"
"Adalia bipunctata","Susceptible"
"Tortula nevadensis","Susceptible"
"Elatine ojibwayensis","Susceptible"
"Asplenium rhizophyllum","Susceptible"
"Stegonia latifolia","Susceptible"
"Hemidactylium scutatum","Susceptible"
"Gymnocarpium continentale","Susceptible"
"Homalosorus pycnocarpos","Susceptible"
"Cystopteris laurentiana","Susceptible"
"Pseudacris maculata","Susceptible"
"Woodsia scopulina","Susceptible"
"Lithobates palustris","Susceptible"
"Isoetes tuckermanii","Susceptible"
"Asplenium platyneuron","Susceptible"
"Pellaea glabella","Susceptible"
"Oceanodroma leucorhoa","Susceptible"
"Sparganium glomeratum","Susceptible"
"Potamogeton vaseyi","Susceptible"
"Trichostema brachiatum","Susceptible"
"Potamogeton berchtoldii","Susceptible"
"Anchistea virginica","Susceptible"
"Carex macloviana","Susceptible"
"Gymnomitrion obtusum","Susceptible"
"Pohlia melanodon","Susceptible"
"Hygroamblystegium noterophilum","Susceptible"
"Grimmia crinitoleucophaea","Susceptible"
"Fissidens subbasilaris","Susceptible"
"Campylostelium saxicola","Susceptible"
"Woodsia oregana","Susceptible"
"Erythrodiplax berenice","Susceptible"
"Seligeria brevifolia","Susceptible"
"Scirpus ancistrochaetus","Susceptible"
"Ophioglossum pusillum","Susceptible"
"Botrychium spathulatum","Susceptible"
"Botrychium pallidum","Susceptible"
"Botrychium campestre","Susceptible"
"Botrychium mormo","Susceptible"
"Sceptridium oneidense","Susceptible"
"Melanoplus gaspesiensis","Susceptible"
"Draba puvirnituqii","Susceptible"
"Tetrodontium repandum","Susceptible"
"Cephaloziella rubella","Susceptible"
"Buxbaumia piperi","Susceptible"
"Bryum elegans","Susceptible"
"Najas gracillima","Susceptible"
"Utricularia radiata","Susceptible"
"Biantheridion undulifolium","Susceptible"
"Draba cayouettei","Susceptible"
"Moerckia blyttii","Susceptible"
"Microlejeunea ulicina","Susceptible"
"Carex echinodes","Susceptible"
"Sphagnum perfoliatum","Susceptible"
"Aneura maxima","Susceptible"
"Forsstroemia trichomitria","Susceptible"
"Draba micropetala","Susceptible"
"Micromitrium tenerum","Susceptible"
"Braya linearis","Susceptible"
"Riccia beyrichiana","Susceptible"
"Gentianella quinquefolia","Susceptible"
"Draba pilosa","Susceptible"
"Crataegus canadensis","Susceptible"
"Marsupella aquatica","Susceptible"
"Odontoschisma sphagni","Susceptible"
"Scapania pseudocalcicola","Susceptible"
"Hypnum andoi","Susceptible"
"Fissidens grandifrons","Susceptible"
"Tetrodontium ovatum","Susceptible"
"Tortula laureri","Susceptible"
